cde_Pays;pays;cde_depense;depense_cat;depense_cat_courte;depense;depense_courte;annee;montant
HRV;Croatie;GF0804;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.4 - Culte et autres services communautaires;Culte et autres services communautaires;2003;0,06888
HRV;Croatie;GF0504;05 - Protection de l environnement;Protection de l environnement;05.4 - Preservation de la diversite biologique et protection de la nature;Preservation de la diversite biologique et protection de la nature;2003;0,0283
HRV;Croatie;GF01;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;2003;1,17588
HRV;Croatie;GF0802;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.2 - Services culturels;Services culturels;2003;0,22001
HRV;Croatie;GF0301;03 - Ordre et securite publics;Ordre et securite publics;03.1 - Services de police;Services de police;2003;0,3739
HRV;Croatie;GF0407;04 - Affaires economiques;Affaires economiques;04.7 - Autres branches d activite;Autres branches d'activite;2003;0,15265
HRV;Croatie;GF05;05 - Protection de l environnement;Protection de l environnement;05 - Protection de l environnement;Protection de l'environnement;2003;0,22623
HRV;Croatie;GF0203;02 - Defense;Defense;02.3 - Aide militaire a des pays etrangers;Aide militaire a des pays etrangers;2003;0
HRV;Croatie;GF1007;10 - Protection sociale;Protection sociale;10.7 - Exclusion sociale n.c.a.;Exclusion sociale n.c.a.;2003;0,0365
HRV;Croatie;GF0305;03 - Ordre et securite publics;Ordre et securite publics;03.5 - R-D concernant l ordre et la securite publics;RetD concernant l'ordre et la securite publics;2003;0,001
HRV;Croatie;GF0402;04 - Affaires economiques;Affaires economiques;04.2 - Agriculture, sylviculture, peche et chasse;Agriculture, sylviculture, peche et chasse;2003;0,31665
HRV;Croatie;GF0702;07 - Sante;Sante;07.2 - Services ambulatoires;Services ambulatoires;2003;0,43512
HRV;Croatie;GF0803;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.3 - Services de radiodiffusion, de television et d edition;Services de radiodiffusion, de television et d'edition;2003;0,09512
HRV;Croatie;GF0704;07 - Sante;Sante;07.4 - Services de sante publique;Services de sante publique;2003;0,08401
HRV;Croatie;GF08;08 - Loisirs, culture et culte;Loisirs, culture et culte;08 - Loisirs, culture et culte;Loisirs, culture et cultes;2003;0,58872
HRV;Croatie;GF0602;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.2 - equipements collectifs;Equipements collectifs;2003;0,19964
HRV;Croatie;GF0801;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.1 - Services recreatifs et sportifs;Services recreatifs et sportifs;2003;0,13975
HRV;Croatie;GF0501;05 - Protection de l environnement;Protection de l environnement;05.1 - Gestion des dechets;Gestion des dechets;2003;0,08889
HRV;Croatie;GF0806;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.6 - Loisirs, culture et culte n.c.a.;Loisirs, culture et culte n.c.a.;2003;0,03444
HRV;Croatie;GF0605;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.5 - R-D dans le domaine du logement et des equipements collectifs;RetD dans le domaine du logement et des equipements collectifs;2003;0,01398
HRV;Croatie;GF1006;10 - Protection sociale;Protection sociale;10.6 - Logement;Logement;2003;0,03542
HRV;Croatie;GF0903;09 - Enseignement;Enseignement;09.3 - Enseignement postsecondaire non superieur;Enseignement postsecondaire non superieur;2003;0,00032
HRV;Croatie;GF09;09 - Enseignement;Enseignement;09 - Enseignement;Enseignement;2003;1,88723
HRV;Croatie;GF0306;03 - Ordre et securite publics;Ordre et securite publics;03.6 - Ordre et securite publics n.c.a.;Ordre et securite publics n.c.a.;2003;0,02729
HRV;Croatie;GF0604;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.4 - eclairage public;Eclairage public;2003;0,02746
HRV;Croatie;GF0103;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.3 - Services generaux;Services generaux;2003;0,13612
HRV;Croatie;GF0405;04 - Affaires economiques;Affaires economiques;04.5 - Transports;Transports;2003;1,93747
HRV;Croatie;GF0304;03 - Ordre et securite publics;Ordre et securite publics;03.4 - Administration penitentiaire;Administration penitentiaire;2003;0,04527
HRV;Croatie;GF1005;10 - Protection sociale;Protection sociale;10.5 - Chomage;Chomage;2003;0,18337
HRV;Croatie;GF0403;04 - Affaires economiques;Affaires economiques;04.3 - Combustibles et energie;Combustibles et energie;2003;0,00951
HRV;Croatie;GF02;02 - Defense;Defense;02 - Defense;Defense nationale;2003;0,43448
