annee;cde_transaction;transaction;cde_pays;pays;cde_devise;devise;montant
2004;D995E;Cotisations sociales effectives a la charge des employeurs dues non recouvrables;AUT;Autriche;EUR;Euro;0
2004;D59B;Impots de capitation;AUT;Autriche;EUR;Euro;0
2004;D29E;Autorisations d'exercer des activites commerciales ou professionnelles;AUT;Autriche;EUR;Euro;0
2004;D214J;Benefices des monopoles fiscaux;AUT;Autriche;EUR;Euro;0
2004;D59D;Paiements effectues par les menages en vue de l obtention de licences;AUT;Autriche;EUR;Euro;0
2004;D995A;Impots sur les produits dus non recouvrables;AUT;Autriche;EUR;Euro;0
2004;D614;Supplements de cotisations sociales a la charge des menages;AUT;Autriche;EUR;Euro;0
2004;D91B;Prelevements sur le capital;AUT;Autriche;EUR;Euro;0
2004;D214I;Impots generaux sur les ventes ou le chiffre d'affaires;AUT;Autriche;EUR;Euro;0
2004;D29B;Impots sur l'utilisation d'actifs fixes;AUT;Autriche;EUR;Euro;0
2004;D2122A;Prelevements sur les produits agricoles importes;AUT;Autriche;EUR;Euro;0
2004;D995C;Impots sur le revenu dus non recouvrables;AUT;Autriche;EUR;Euro;0
2004;D2122B;Montants compensatoires monetaires preleves a l'importation;AUT;Autriche;EUR;Euro;0
2004;D214B;Droits de timbre;AUT;Autriche;EUR;Euro;0
2004;D29F;Impots sur les emissions polluantes;AUT;Autriche;EUR;Euro;0
2004;D214K;Droits sur les exportations et montants compensatoires monetaires preleves a l'exportation;AUT;Autriche;EUR;Euro;0
2004;D995B;Autres impots sur la production dus non recouvrables;AUT;Autriche;EUR;Euro;0
2004;D611V;Cotisations sociales effectives volontaires des employeurs;AUT;Autriche;EUR;Euro;0
2004;D6142;Supplements de cotisations autres que de pension a la charge des menages;AUT;Autriche;EUR;Euro;0
2004;D51C3;Autres impots sur les gains de detention n.c.a.;AUT;Autriche;EUR;Euro;0
2004;D995FN;Cotisations sociales effectives a la charge des personnes n'occupant pas d'emploi dues non recouvrables;AUT;Autriche;EUR;Euro;0
