annee;cde_age;cde_pays;pays;cde_mesure;mesure;cde_sexe;sexe;age;valeur_mesuree
2012;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;625197,9539
2012;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,223
2013;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2853462
2013;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,816
2013;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;889423
2013;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;20,515
2013;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2859938
2013;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;69,136
2013;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;652383
2013;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;15,771
2013;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1541806
2013;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;18,198
2013;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5713400
2013;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,437
2013;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1216943,361
2013;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;14,364
2013;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;592622,3655
2013;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;13,669
2013;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;624345,3392
2013;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,093
2014;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2866662
2014;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,683
2014;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;903474
2014;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;20,701
2014;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2878063
2014;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;68,953
2014;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;669128
2014;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;16,031
2014;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1572602
2014;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;18,418
2014;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5744725
2014;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,281
2014;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1220984,05
2014;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;14,3
2014;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;594303,0714
2014;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;13,617
2014;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;626757,3288
2014;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,016
2015;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2884321
2015;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,621
2015;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;912807
2015;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;20,767
2015;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2909402
2015;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;68,89
2015;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;682062
2015;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;16,15
2015;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1594869
2015;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;18,505
2015;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5793723
2015;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,223
2015;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1230148,336
2015;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;14,273
2015;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;598305,3871
2015;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;13,612
2015;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;631803,1368
2015;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;14,96
2016;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2910686
2016;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,516
2016;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;922673
2016;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;20,768
2016;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2955648
2016;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;68,817
2016;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;694347
2016;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;16,167
2016;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1617020
2016;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;18,506
2016;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5866334
2016;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,138
2016;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1254291,524
2016;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;14,355
